12/15/2018 17:51:59 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:15 - 1002	M	909,-1,payon
12/15/2018 17:52:15 - 1002	M	713,-1,payon
12/15/2018 17:52:17 - 1002	M	909,-1,payon
12/15/2018 17:52:17 - 1002	M	713,-1,payon
12/15/2018 17:52:17 - 1002	M	619,-1,payon
12/15/2018 17:52:18 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:18 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:18 - 1002	L	619,1,0,0,0,0,0,payon
12/15/2018 17:52:19 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:19 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:19 - 1002	L	619,-1,0,0,0,0,0,payon
12/15/2018 17:52:20 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:20 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:20 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:21 - 1002	M	909,-1,payon
12/15/2018 17:52:21 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:21 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:21 - 1002	L	619,1,0,0,0,0,0,payon
12/15/2018 17:52:21 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:21 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:22 - 1002	L	909,1,0,0,0,0,0,payon
12/15/2018 17:52:22 - 1002	L	713,1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	M	909,-1,payon
12/15/2018 17:52:23 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	L	619,-1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	L	713,-1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	L	909,-1,0,0,0,0,0,payon
12/15/2018 17:52:23 - 1002	L	713,-1,0,0,0,0,0,payon
